variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
bfne_b_i1,"BFNE (version b), question 1",1. I worry about what other people will think of me even when when I know it doesn't make any difference.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i2,"BFNE (version b), question 2",2. It bothers me when people form an unfavorable impression of me.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i3,"BFNE (version b), question 3",3. I am frequently afraid of other people noticing my shortcomings.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i4,"BFNE (version b), question 4",4. I worry about what kind of impression I make on people.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i5,"BFNE (version b), question 5",5. I am afraid that others will not approve of me.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i6,"BFNE (version b), question 6",6. I am afraid that other people will find fault with me.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i7,"BFNE (version b), question 7",7. I am concerned about other people's opinions of me.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i8,"BFNE (version b), question 8","8. When I am talking to someone, I worry about what they may be thinking about me.",s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i9,"BFNE (version b), question 9",9. I am usually worried about what kind of impression I make.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i10,"BFNE (version b), question 10","10. If I know someone is judging me, it tends to bother me.",s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i11,"BFNE (version b), question 11",11. Sometimes I think I am too concerned with what other people think of me.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_i12,"BFNE (version b), question 12",12. I often worry that I will say or do wrong things.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_b_scrdTotal,BFNE (version b) total score,sum of all bfne_b items (NA if bfne_b_percTotal < 1),s1_r1_e1,Integer,"[12,60]",NA,NA,1,NA,code-instruments
bfne_b_percTotal,BFNE (version b) percentage response,percentage of response for bfne_b items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
