variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
epepq15_sit,"EPEPQ15, specification of situation used to answer following questions",Please mark the situation you have chosen and remember to refer to this situation while answering the following questions.,s1_r1_e1,Categorical,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17","1, talking in front of a group | 2, being at a party | 3, talking to authorities | 4, participating in group activities | 5, using public restrooms | 6, returning goods to a store | 7, beginning/maintaining a conversation | 8, expressing disapproval | 9, talking on the phone | 10, initiating a romantic relationship | 11, dating someone | 12, oral exams | 13, eating/drinking/writing in public | 14, talking on the phone with others listening | 15, giving a party | 16, formal and informal meetings | 17, being criticized",NA,1,NA,direct-redcap
epepq15_i1,"EPEPQ15, question 1","After the event was over, did you think about it a lot?",s1_r1_e1,Likert,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 0 (not at all) | 1,  | 2,  | 3,  | 4,  | 5, 5 | 6,  | 7,  | 8,  | 9,  | 10, 10 (very much so)",NA,1,NA,direct-redcap
epepq15_i2,"EPEPQ15, question 2",Did your memories and thoughts about the event keep coming into your head even when you did not wish to think about it again?,s1_r1_e1,Likert,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 0 (not at all) | 1,  | 2,  | 3,  | 4,  | 5, 5 | 6,  | 7,  | 8,  | 9,  | 10, 10 (very much so)",NA,1,NA,direct-redcap
epepq15_i3,"EPEPQ15, question 3",Did the thoughts about the event interfere with your concentration?,s1_r1_e1,Likert,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 0 (not at all) | 1,  | 2,  | 3,  | 4,  | 5, 5 | 6,  | 7,  | 8,  | 9,  | 10, 10 (very much so)",NA,1,NA,direct-redcap
epepq15_i4,"EPEPQ15, question 4",Did you find it difficult to forget about the event?,s1_r1_e1,Likert,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 0 (not at all) | 1,  | 2,  | 3,  | 4,  | 5, 5 | 6,  | 7,  | 8,  | 9,  | 10, 10 (very much so)",NA,1,NA,direct-redcap
epepq15_i5,"EPEPQ15, question 5",Did you try to resist thinking about the event?,s1_r1_e1,Likert,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 0 (not at all) | 1,  | 2,  | 3,  | 4,  | 5, 5 | 6,  | 7,  | 8,  | 9,  | 10, 10 (very much so)",NA,1,NA,direct-redcap
epepq15_i6,"EPEPQ15, question 6","If you repeatedly thought about the event, did your feelings about the event worsen?",s1_r1_e1,Likert,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 0 (not at all) | 1,  | 2,  | 3,  | 4,  | 5, 5 | 6,  | 7,  | 8,  | 9,  | 10, 10 (very much so)",NA,1,NA,direct-redcap
epepq15_i7,"EPEPQ15, question 7",Have you ever wondered about whether you could have avoided or prevented your behavior/feelings during the event?,s1_r1_e1,Likert,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 0 (not at all) | 1,  | 2,  | 3,  | 4,  | 5, 5 | 6,  | 7,  | 8,  | 9,  | 10, 10 (very much so)",NA,1,NA,direct-redcap
epepq15_i8,"EPEPQ15, question 8",Have you ever wished that you could turn the clock back and do it again but better this time?,s1_r1_e1,Likert,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 0 (not at all) | 1,  | 2,  | 3,  | 4,  | 5, 5 | 6,  | 7,  | 8,  | 9,  | 10, 10 (very much so)",NA,1,NA,direct-redcap
epepq15_i9,"EPEPQ15, question 9",Did you experience a sense of shame while remembering your behavior during the situation?,s1_r1_e1,Likert,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 0 (not at all) | 1,  | 2,  | 3,  | 4,  | 5, 5 | 6,  | 7,  | 8,  | 9,  | 10, 10 (very much so)",NA,1,NA,direct-redcap
