variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
masi_i1,"MASI, question 1",I don't speak my family's heritage language or don't speak it well.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i2,"MASI, question 2",I feel uncomfortable being around people who only speak my family's heritage language.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i3,"MASI, question 3",I feel pressure to learn my family's heritage language.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i4,"MASI, question 4",I have a hard time understanding others when they speak my family's heritage language.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i5,"MASI, question 5","Since I don't speak my family's heritage language well, people have treated me rudely or unfairly.",s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i6,"MASI, question 6",It bothers me when people assume that I speak my family's heritage language.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i7,"MASI, question 7",I have been discriminated against because I have difficulty speaking my family's heritage language.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i8,"MASI, question 8",I don't speak English or don't speak it well.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i9,"MASI, question 9",I have been discriminated against because I have difficulty speaking English.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i10,"MASI, question 10","Since I don't speak English well, people have treated me rudely or unfairly.",s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i11,"MASI, question 11",I feel pressure to learn English.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i12,"MASI, question 12",It bothers me that I speak English with an accent.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i13,"MASI, question 13",I have a hard time understanding others when they speak English.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i14,"MASI, question 14",I feel uncomfortable being around people who only speak English.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i15,"MASI, question 15",It bothers me when people pressure me to assimilate to the American way of doing things.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i16,"MASI, question 16",It bothers me when people don't respect my family's cultural values.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i17,"MASI, question 17","Because of my cultural background, I have a hard time fitting in with White Americans.",s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i18,"MASI, question 18",I feel uncomfortable when others expect me to know American ways of doing things.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i19,"MASI, question 19",I don't feel accepted by White Americans.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_i20,"MASI, question 20",I feel uncomfortable when I have to choose between my family's heritage culture and American ways of doing things.,s1_r1_e1,Likert,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
