variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
new,The surprise memory task; shows if the displayed face is new or not.,This variable stores the true value as to whether the displayed face is new or not (not the response from the subject),s1_r1_e1,logical,"0, 1","0, old | 1, new",NA,1,NA,ndclab
newKey,The surprise memory task; which button (key) should be pressed when the face is new.,This variable stores the value for which key should be pressed when the face is new.,s1_r1_e2,char,"right, left","left, left key | right, right key",NA,1,NA,ndclab
FriendlyKey,The surprise memory task; which button (key) should be pressed when the face is identified as friendly.,This variable stores the value for which key should be pressed when the face is identified as friendly by participants.,s1_r1_e3,char,"right, left","left, left key | right, right key",NA,1,NA,ndclab
congruent,The face flanker task; shows if the trial is congruent or not. ,This variable stores the value as to whether the given flanker trial is congruent or not.,s1_r1_e4,logical,"0, 1","0, no | 1, yes",NA,1,NA,ndclab
stimNum,The face flanker task; shows which stimulus array was displayed in the trial.,This variable stores the value denoting which stimulus array has been displayed in a trial. ,s1_r1_e5,integer,"5, 6, 7, 8","5, right congruent | 6, left congruent | 7, right incongruent | 8, left incongruent ",NA,1,NA,ndclab
accuracy,The face flanker task; shows if the response is correct or not. ,This variable stores the value as to whether the participant has responded correctly. ,s1_r1_e6,logical,"0, 1","0, incorrect | 1, correct",NA,1,NA,ndclab
task1_stim_keyResp.keys,The face flanker task; show which key was pressed by the participant.,This variable stores the value denoting which key has been pressed as a response in the given face flanker task trial.,s1_r1_e7,vector of chars,"""1"", ""8""","1, left | 8, right",NA,1,NA,ndclab
textbox_2.text,The face flanker task; shows the reported number of errors (for the face flanker task) by the participant. ,This variable stores the value reported by the participant as the number of their errors during the face flanker task.,s1_r1_e8,integer,"[0, Inf]",NA,NA,1,NA,ndclab
surprise_key_resp.keys,The surprise memory task; shows which key was pressed by the participant.,This variable stores the value denoting which key has been pressed as a response in the given surprise memory task trial.,s1_r1_e9,vector of chars,"""1"", ""8""","1, left | 8, right",NA,1,NA,ndclab
friendly_key_resp.keys,The surprise friendly task; shows which key was pressed by the participant.,This variable stores the value denoting which key has been pressed as a response in the given surprise friendly task trial.,s1_r1_e10,vector of chars,"""1"", ""8""","1, left | 8, right",NA,1,NA,ndclab
surpriseFaces,The surprise task; contains the directory to the face image file that is shown during the surprise task trial.,This variable stores the directory address for the surprise face shown in each trial. ,s1_r1_e11,char,path names,path names,NA,1,NA,ndclab
straightFace,The face flanker task; contains the directory to the face image file that is shown during the face flanker task trial.,This variable stores the directory address for the face flanker face shown in each trial. ,s1_r1_e12,char,path names,path names,NA,1,NA,ndclab
task1_stim_keyResp.rt,The face flanker task; contains the reaction time values for the responses.,This variable stores the reaction time for the response key presses in the face flanker task.,s1_r1_e13,vector of chars,"[0,Inf]",seconds,NA,1,NA,ndclab
task_trial_loop.thisTrialN,The face flanker task; contains the number of trial in a block.,This variable stores the number of a trial in a block in the face flanker task.,s1_r1_e14,integer,"[0,31]",NA,NA,1,NA,ndclab
task_block_loop.thisTrialN,The face flanker task; contains the number of block.,This variable stores the number of block in the face flanker task.,s1_r1_e15,integer,"[0,4]",NA,NA,1,NA,ndclab
trials.thisTrialN,The surprise memory task; contains the number of trial in a block.,This variable stores the number of a trial in a block in the surprise task.,s1_r1_e16,integer,"[0,119]",NA,NA,1,NA,ndclab
surprise_block_loop.thisTrialN,The surprise memory task; contains the number of block.,This variable stores the number of a block in the surprise task.,s1_r1_e17,integer,"[0,1]",NA,NA,1,NA,ndclab
trials_2.thisTrialN,The surprise friendly task; contains the number of trial in a block.,This variable stores the number of a trial in a block in the surprise task.,s1_r1_e18,integer,"[0,119]",NA,NA,1,NA,ndclab
friendly_block_loop.thisTrialN,The surprise friendly task; contains the number of block.,This variable stores the number of a block in the surprise task.,s1_r1_e19,integer,"[0,1]",NA,NA,1,NA,ndclab
ISI,The face flanker task; contains the inter-stimulus interval time duration,This variable stores the inter-stimulus interval time duration,s1_r1_e20,real,"[0,Inf]",seconds,NA,1,NA,ndclab
textbox_3.text,The face flanker task; contains self-reported number of discomfort for error commission ,This variable stores the self-reported number by participants in response to the question that asks how much error commission was bothersome,s1_r1_e21,integer,"[0,10]",NA,NA,1,NA,ndclab
surprise_key_resp.rt,The surprise memory task; containes the reaction times for responses,This variable stores the reaction time for the response key presses.,s1_r1_e22,real,"[0,Inf]",seconds,NA,1,NA,ndclab
friendly_key_resp.rt,The surprise friendly task; containes the reaction times for responses,This variable stores the reaction time for the response key presses.,s1_r1_e23,real,"[0,Inf]",seconds,NA,1,NA,ndclab
