variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
posttaskd_i1,"PostTaskD, question 1",How much are you worrying about the number of errors you made?,"s1_r1_e1, s1_r1_e2",Likert,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, not at all | 2,  | 3,  | 4,  | 5, some | 6,  | 7,  | 8,  | 9,  | 10, a lot",NA,1,NA,direct-redcap
posttaskd_i2,"PostTaskD, question 2",How much are you worrying about the number of times you responded slowly?,"s1_r1_e1, s1_r1_e2",Likert,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, not at all | 2,  | 3,  | 4,  | 5, some | 6,  | 7,  | 8,  | 9,  | 10, a lot",NA,1,NA,direct-redcap
posttaskd_i3,"PostTaskD, question 3",How much attention did you pay to responding accurately?,"s1_r1_e1, s1_r1_e2",Likert,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, not at all | 2,  | 3,  | 4,  | 5, some | 6,  | 7,  | 8,  | 9,  | 10, very/a lot",NA,1,NA,direct-redcap
posttaskd_i4,"PostTaskD, question 4",How frustrated did you feel after making an error?,"s1_r1_e1, s1_r1_e2",Likert,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, not at all | 2,  | 3,  | 4,  | 5, some | 6,  | 7,  | 8,  | 9,  | 10, very/a lot",NA,1,NA,direct-redcap
posttaskd_i5,"PostTaskD, question 5",How anxious did you feel after making an error?,"s1_r1_e1, s1_r1_e2",Likert,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, not at all | 2,  | 3,  | 4,  | 5, some | 6,  | 7,  | 8,  | 9,  | 10, very/a lot",NA,1,NA,direct-redcap
posttaskd_i6,"PostTaskD, question 6",How much attention did you pay to responding quickly?,"s1_r1_e1, s1_r1_e2",Likert,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, not at all | 2,  | 3,  | 4,  | 5, some | 6,  | 7,  | 8,  | 9,  | 10, very/a lot",NA,1,NA,direct-redcap
posttaskd_i7,"PostTaskD, question 7",How frustrated did you feel after making a slow response?,"s1_r1_e1, s1_r1_e2",Likert,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, not at all | 2,  | 3,  | 4,  | 5, some | 6,  | 7,  | 8,  | 9,  | 10, very/a lot",NA,1,NA,direct-redcap
posttaskd_i8,"PostTaskD, question 8",How anxious did you feel after making a slow response?,"s1_r1_e1, s1_r1_e2",Likert,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1, not at all | 2,  | 3,  | 4,  | 5, some | 6,  | 7,  | 8,  | 9,  | 10, very/a lot",NA,1,NA,direct-redcap
posttaskd_i9,"PostTaskD, question 9","How many do you think were errors? 
","s1_r1_e1, s1_r1_e2",Integer,"[0,100]",none | 50% | 100%,NA,1,NA,direct-redcap
posttaskd_i10,"PostTaskD, question 10","How many do you think were slow responses? 
","s1_r1_e1, s1_r1_e2",Integer,"[0,100]",none | 50% | 100%,NA,1,NA,direct-redcap
posttaskd_i11,"PostTaskD, question 11","Compared to others, how many more/fewer errors do you think you made?","s1_r1_e1, s1_r1_e2",Integer,"[1, 10]",many fewer | about the same | many more,NA,1,NA,direct-redcap
posttaskd_i12,"PostTaskD, question 12","Compared to others, how much more/less frequently do you think you responded slowly?","s1_r1_e1, s1_r1_e2",Integer,"[1, 10]",much less frequently | about the same | much more frequently,NA,1,NA,direct-redcap
