variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
srq_i1,"SRQ, question 1","I enjoy being around people who think I am an important, exciting person",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i2,"SRQ, question 2",I enjoy treating others fairly,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i3,"SRQ, question 3",I enjoy making someone angry,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i4,"SRQ, question 4",I enjoy going to parties,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i5,"SRQ, question 5",I enjoy being nice to someone only if I gain something out of it,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i6,"SRQ, question 6",I enjoy feeling emotionally connected to someone,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i7,"SRQ, question 7",I enjoy it if others look up to me,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i8,"SRQ, question 8",I enjoy tricking someone out of something,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i9,"SRQ, question 9",I enjoy having erotic relationships,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i10,"SRQ, question 10",I enjoy being a member of a group/club,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i11,"SRQ, question 11",I enjoy being around people who are impressed with who I am and what I do,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i12,"SRQ, question 12",I enjoy letting someone else tell me what to do,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i13,"SRQ, question 13",I enjoy having many sexual experiences,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i14,"SRQ, question 14",I enjoy embarrassing others,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i15,"SRQ, question 15",I enjoy many people wanting to invite me to their social events,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i16,"SRQ, question 16",I enjoy keeping promises I make to others,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i17,"SRQ, question 17",I enjoy seeing others get hurt,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i18,"SRQ, question 18",I enjoy achieving recognition from others,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i19,"SRQ, question 19","I enjoy it if someone accepts me as I am, no matter what",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i20,"SRQ, question 20",I enjoy having an active sex life,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i21,"SRQ, question 21",I enjoy someone else making decisions for me,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i22,"SRQ, question 22",I enjoy making someone feel happy,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_i23,"SRQ, question 23",I enjoy following someone else's rules,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Strongly disagree | 2, Disagree | 3, Slightly disagree | 4, Neither agree nor disagree | 5, Slightly agree | 6, Agree | 7, Strongly agree",NA,1,NA,direct-redcap
srq_scrdAdm,SRQ admiration subscore,"average of srq items 1, 7, 11, and 18 (NA if srq_percAdm < 0.8)",s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
srq_scrdNeg,SRQ negative social potency subscore,"average of srq items 3, 5, 8, 14, and 17 (NA if srq_percNeg < 0.8)",s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
 srq_scrdPass,SRQ passivity subscore,"average of srq items 12, 21, and 23 (NA if srq_percPass < 0.8)",s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
 srq_scrdPro,SRQ prosocial interactions subscore,"average of srq items 2, 6, 16, 19, and 22 (NA if srq_percPro < 0.8)",s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
srq_scrdSex,SRQ sexual relationships subscore,"average of srq items 9, 13, and 20 (NA if srq_percSex < 0.8)",s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
srq_scrdSoc,SRQ sociability subscore,"average of srq items 4, 10, and 15 (NA if srq_percSoc < 0.8)",s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
srq_percAdm,SRQ admiration subscore percentage response,percentage of response for srq admiration items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
srq_percNeg,SRQ negative social potency subscore percentage response,percentage of response for srq negative social potency items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
srq_percPass,SRQ passivity subscore percentage response,percentage of response for srq passivity items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
srq_percPro,SRQ prosocial interactions subscore percentage response,percentage of response for srq prosocial interactions items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
srq_percSex,SRQ sexual relationships subscore percentage response,percentage of response for srq sexual relationships items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
srq_percSoc,SRQ sociability subscore percentage response,percentage of response for srq sociability items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
