middleStim,rightStim1,rightStim2,leftStim1,leftStim2,stimNum,congruent,target,whichCondition,conditionText,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,conditions.thisRepN,conditions.thisTrialN,conditions.thisN,conditions.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_rightImg1.started,prac_rightImg1.stopped,prac_rightImg2.started,prac_rightImg2.stopped,prac_leftImg1.started,prac_leftImg1.stopped,prac_leftImg2.started,prac_leftImg2.stopped,prac_fixImg.started,prac_fixImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,condition_whichCondition_text.started,condition_whichCondition_text.stopped,condition_continue_text.started,condition_continue_text.stopped,condition_keyResp.keys,condition_keyResp.rt,condition_keyResp.started,condition_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,task_centerImg.started,task_centerImg.stopped,task_rightImg1.started,task_rightImg1.stopped,task_rightImg2.started,task_rightImg2.stopped,task_leftImg1.started,task_leftImg1.stopped,task_leftImg2.started,task_leftImg2.stopped,task_fixImg.started,task_fixImg.stopped,task_stim_keyResp.keys,task_stim_keyResp.rt,task_stim_keyResp.started,task_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,id,counterbalance,session,run,date,expName,psychopyVersion,frameRate,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,3,0,right,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,14.372517100004188,None,14.372517100004188,None,8,0.29073369999969145,14.372517100004188,None,14.683127399999648,None,1.8797595190380763,16.73954539999977,16.942142400002922,16.73954539999977,16.942142400002922,16.73954539999977,16.942142400002922,16.73954539999977,16.942142400002922,16.73954539999977,16.942142400002922,16.73954539999977,None,['8'],[0.5329582999984268],16.73954539999977,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,4,0,left,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,1.9268537074148295,18.68883270000515,18.893979400003445,18.68883270000515,18.893979400003445,18.68883270000515,18.893979400003445,18.68883270000515,18.893979400003445,18.68883270000515,18.893979400003445,18.68883270000515,18.68883270000515,['1'],[0.49544410000089556],18.68883270000515,18.68883270000515,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,1,1,right,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,1.629258517034068,20.684223900003417,20.888622999998915,20.684223900003417,20.888622999998915,20.684223900003417,20.888622999998915,20.684223900003417,20.888622999998915,20.684223900003417,20.888622999998915,20.684223900003417,20.684223900003417,['8'],[0.34411569999792846],20.684223900003417,20.684223900003417,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,2,1,left,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,1.6082164328657313,22.365290200003074,22.57126750000316,22.365290200003074,22.57126750000316,22.365290200003074,22.57126750000316,22.365290200003074,22.57126750000316,22.365290200003074,22.57126750000316,22.365290200003074,22.365290200003074,['1'],[0.3581876000025659],22.365290200003074,22.365290200003074,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.998864300003333,None,23.998864300003333,None,8,0.4753777000005357,23.998864300003333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.489983800005575,None,8,0.4182583000001614,24.489983800005575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,54,0,left,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,27.238981200003764,None,1.7945891783567134,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,24.93424270000105,None,24.93424270000105,None,8,1.5008967999965535,24.93424270000105,None,26.45724280000286,None,8,0.7670251000017743,26.45724280000286,None,29.303705800004536,29.505243600004178,29.303705800004536,29.505243600004178,29.303705800004536,29.505243600004178,29.303705800004536,29.505243600004178,29.303705800004536,29.505243600004178,29.303705800004536,None,['1'],[0.4748799000008148],29.303705800004536,None,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,53,0,right,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,1.814629258517034,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.166662100004032,31.37653030000365,31.166662100004032,31.37653030000365,31.166662100004032,31.37653030000365,31.166662100004032,31.37653030000365,31.166662100004032,31.37653030000365,31.166662100004032,31.166662100004032,['8'],[0.46872260000236565],31.166662100004032,31.166662100004032,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,52,1,left,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,1.9809619238476952,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.052302200005215,33.259390999999596,33.052302200005215,33.259390999999596,33.052302200005215,33.259390999999596,33.052302200005215,33.259390999999596,33.052302200005215,33.259390999999596,33.052302200005215,33.052302200005215,['1'],[0.34104500000103144],33.052302200005215,33.052302200005215,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,51,1,right,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,1.8066132264529058,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.10712110000168,35.311570500001835,35.10712110000168,35.311570500001835,35.10712110000168,35.311570500001835,35.10712110000168,35.311570500001835,35.10712110000168,35.311570500001835,35.10712110000168,35.10712110000168,['8'],[0.33419700000376906],35.10712110000168,35.10712110000168,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
