middleStim,rightStim1,rightStim2,leftStim1,leftStim2,stimNum,congruent,target,whichCondition,conditionText,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_condition_loop.thisRepN,task_condition_loop.thisTrialN,task_condition_loop.thisN,task_condition_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_rightImg1.started,prac_rightImg1.stopped,prac_rightImg2.started,prac_rightImg2.stopped,prac_leftImg1.started,prac_leftImg1.stopped,prac_leftImg2.started,prac_leftImg2.stopped,prac_fixImg.started,prac_fixImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,condition_keyResp.keys,condition_keyResp.rt,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,task_centerImg.started,task_centerImg.stopped,task_rightImg1.started,task_rightImg1.stopped,task_rightImg2.started,task_rightImg2.stopped,task_leftImg1.started,task_leftImg1.stopped,task_leftImg2.started,task_leftImg2.stopped,task_fixImg.started,task_fixImg.stopped,task_stim_keyResp.keys,task_stim_keyResp.started,task_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,conditionComplete_key_resp.keys,conditionComplete_key_resp.rt,id,counterbalance,session,run,date,expName,psychopyVersion,frameRate,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,3,0,right,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,42.66307239999878,None,42.66307239999878,None,8,0.012986699992325157,42.66307239999878,None,42.697870800009696,None,1.594188376753507,45.73984009999549,45.94125119999808,45.73984009999549,45.94125119999808,45.73984009999549,45.94125119999808,45.73984009999549,45.94125119999808,45.73984009999549,45.94125119999808,45.73984009999549,None,['8'],[0.6043018000054872],45.73984009999549,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,1,1,right,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1.8687374749498997,47.38031360000605,47.582983100001,47.38031360000605,47.582983100001,47.38031360000605,47.582983100001,47.38031360000605,47.582983100001,47.38031360000605,47.582983100001,47.38031360000605,47.38031360000605,['8'],[0.45877150000887923],47.38031360000605,47.38031360000605,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,2,1,left,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,1.8466933867735469,49.29347119999875,49.494639800002915,49.29347119999875,49.494639800002915,49.29347119999875,49.494639800002915,49.29347119999875,49.494639800002915,49.29347119999875,49.494639800002915,49.29347119999875,49.29347119999875,['1'],[0.3927698000043165],49.29347119999875,49.29347119999875,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,4,0,left,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1.8597194388777554,51.18667589999677,51.39208890000009,51.18667589999677,51.39208890000009,51.18667589999677,51.39208890000009,51.18667589999677,51.39208890000009,51.18667589999677,51.39208890000009,51.18667589999677,51.18667589999677,['1'],[0.5195361000078265],51.18667589999677,51.18667589999677,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.058385199998156,None,53.058385199998156,None,8,0.5100124000018695,53.058385199998156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.304480099992361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,52,1,left,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,61.15576670000155,None,1.7585170340681362,,,,,,,,,,,,,,,,,1,,,,,,,,,,,c,4.523725500010187,60.44729360000929,None,8,0.6877987999905599,60.44729360000929,None,64.20619559999614,64.4081123000069,64.20619559999614,64.4081123000069,64.20619559999614,64.4081123000069,64.20619559999614,64.4081123000069,64.20619559999614,64.4081123000069,64.20619559999614,None,None,64.20619559999614,None,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,53,0,right,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,1.9078156312625252,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,66.01561729999958,66.21551439999894,66.01561729999958,66.21551439999894,66.01561729999958,66.21551439999894,66.01561729999958,66.21551439999894,66.01561729999958,66.21551439999894,66.01561729999958,66.01561729999958,None,66.01561729999958,66.01561729999958,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,54,0,left,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,1.7294589178356714,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,67.97188120000646,68.17501099999936,67.97188120000646,68.17501099999936,67.97188120000646,68.17501099999936,67.97188120000646,68.17501099999936,67.97188120000646,68.17501099999936,67.97188120000646,67.97188120000646,None,67.97188120000646,67.97188120000646,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,51,1,right,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,1.6012024048096192,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,69.74464770000486,69.94504920000327,69.74464770000486,69.94504920000327,69.74464770000486,69.94504920000327,69.74464770000486,69.94504920000327,69.74464770000486,69.94504920000327,69.74464770000486,69.74464770000486,None,69.74464770000486,69.74464770000486,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,,,,,,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,71.36857010000676,None,8,9.945761599999969,81.3642749999999,None,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,51,1,right,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,91.78119259999949,None,1.5771543086172344,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,91.32706690000487,None,8,0.43502419999276754,91.32706690000487,None,94.82568150000589,95.03052610000304,94.82568150000589,95.03052610000304,94.82568150000589,95.03052610000304,94.82568150000589,95.03052610000304,94.82568150000589,95.03052610000304,94.82568150000589,None,None,94.82568150000589,None,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,53,0,right,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,2,,,,,,,,,,,1.7875751503006012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,96.44870269999956,96.6483622000087,96.44870269999956,96.6483622000087,96.44870269999956,96.6483622000087,96.44870269999956,96.6483622000087,96.44870269999956,96.6483622000087,96.44870269999956,96.44870269999956,None,96.44870269999956,96.44870269999956,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,54,0,left,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,3,,,,,,,,,,,1.812625250501002,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,98.28368290000071,98.4864360000065,98.28368290000071,98.4864360000065,98.28368290000071,98.4864360000065,98.28368290000071,98.4864360000065,98.28368290000071,98.4864360000065,98.28368290000071,98.28368290000071,None,98.28368290000071,98.28368290000071,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,52,1,left,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,1,,,,,,,,,,,1.8176352705410823,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,100.1439526000031,100.34442480000143,100.1439526000031,100.34442480000143,100.1439526000031,100.34442480000143,100.1439526000031,100.34442480000143,100.1439526000031,100.34442480000143,100.1439526000031,100.1439526000031,None,100.1439526000031,100.1439526000031,,,,,,,,,,3,B,2,1,2022_Apr_13_1142,flanker-basic_v5,2021.2.3,240.5447858067014,
